Папка	Книга	Лист	Строка в исходнике	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	0																		Приложение № 1                                                                                                                                                                                          		
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	1																		к дополнительному соглашению №  4		
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	2																				
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	3	Форма отчёта Экспедитора																			
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	4																				
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	5		Наименование соисполнителя	№ договора с соисполнителем		Дата отчета	Дата начала отчётного периода	Дата окончания отчётного периода													
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	6		LDK International logistics (Chongqing) Co.,Ltd	ТКтз/22/03/003 от 04.03.2022		2023-01-20 00:00:00	2023-01-10 00:00:00	2023-01-20 00:00:00													
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	7																				
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	8																				
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	9	№ п/п	Контейнер/Вагон				Вид перевозки	Номер счета	Дата счета	Курс	Номер заказа	UN/LOCODE порта погрузки	UN/LOCODE порта выгрузки	Дата прибытия на станцию назначения	Морской фрахт (груженый)	Железнодорожная перевозка	Автодоставка	Таможенное оформление	ПРР в китайских портах	Прочие расходы	Примечание
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	10	№ п/п	№ контейнера	№ вагона	Тип	Признак груженый / порожний	Вид перевозки	Номер счета	Дата счета	Курс	Номер заказа	UN/LOCODE порта погрузки	UN/LOCODE порта выгрузки	Дата прибытия на станцию назначения	Стоимость услуги (USD)	Стоимостьуслуги (USD)	Стоимость услуги (USD)	Стоимость услуги (USD)	Стоимость услуги (USD)	Стоимость услуги (USD)	
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	11	1	TKRU3029661		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	12	2	TKRU3060585		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	13	3	TKRU3097455		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	14	4	TKRU3051259		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	15	5	TKRU3251196		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	16	6	TKRU3087631		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	17	7	TKRU3190110		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	18	8	TKRU3410575		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	19	9	TKRU3372264		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	20	10	TKRU3026620		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	21	11	TKRU3079560		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	22	12	TKRU3345361		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	23	13	TKRU3392126		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	24	14	TKRU3460431		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	25	15	TKRU3313045		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	26	16	TKRU3131375		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	27	17	TKRU3434941		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	28	18	TKRU3507647		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
Исходники\LDK\Январь 23	шаблон 729500.xlsx	3300	29	19	TKRU3462265		20GP	груженый	импорт	19-01-2023-1	2023-01-19 00:00:00		41	Shanghai	Vostochny	2023-01-26 00:00:00	2500						
